Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
362;1771129142735,399026;0,0979605093598366;0,2907774746418;3,70037078857422
363;1771129142797,601526;0,0983945652842522;0,291222482919693;3,69282865524292
364;1771129142860,189326;0,0988320782780647;0,292046159505844;3,68742394447327
365;1771129142924,347126;0,0992746129631996;0,292753845453262;3,67935538291931
366;1771129142985,832026;0,0997210592031479;0,29343518614769;3,67322683334351
367;1771129143047,740026;0,100169770419598;0,294057160615921;3,66972899436951
368;1771129143109,920826;0,100619524717331;0,294752717018127;3,6681821346283
369;1771129143173,097726;0,101070150732994;0,295381307601929;3,66702222824097
370;1771129143235,738826;0,101500332355499;0,295660346746445;3,70087146759033
371;1771129143296,819826;0,101937964558601;0,296414405107498;3,68890428543091
372;1771129143359,807626;0,102379210293293;0,297294437885284;3,68318223953247
373;1771129143423,277126;0,102822698652744;0,298034340143204;3,67969989776611
374;1771129143485,647626;0,103266701102257;0,298826783895493;3,67914938926697
375;1771129143548,988726;0,103711657226086;0,299493759870529;3,67781114578247
376;1771129143610,101026;0,104160867631435;0,300009816884995;3,67107367515564
377;1771129143672,551826;0,104589492082596;0,300378054380417;3,70511770248413
378;1771129143734,854526;0,105023570358753;0,301206350326538;3,69638633728027
379;1771129143796,627326;0,105461627244949;0,301943391561508;3,69018125534058
380;1771129143859,912626;0,105900935828686;0,302721947431564;3,6882746219635
381;1771129143922,375726;0,10634246468544;0,303386628627777;3,68498778343201
382;1771129143987,707726;0,106787756085396;0,304068148136139;3,67894554138184
383;1771129144046,938226;0,107236884534359;0,304776698350906;3,67288613319397
384;1771129144110,118126;0,107689432799816;0,305448144674301;3,66739845275879
385;1771129144172,602326;0,108120530843735;0,305783063173294;3,70289087295532
386;1771129144234,264326;0,108554840087891;0,306444942951202;3,69796633720398
387;1771129144298,867526;0,108992233872414;0,307094842195511;3,69312524795532
388;1771129144360,074526;0,109433807432652;0,307773768901825;3,6864070892334
389;1771129144423,023926;0,109879978001118;0,308540374040604;3,67917990684509
390;1771129144484,193926;0,110329255461693;0,309311777353287;3,67418909072876
391;1771129144547,249626;0,110779464244843;0,309982419013977;3,67291045188904
392;1771129144614,111526;0,111231602728367;0,31053215265274;3,66986227035522
393;1771129144671,801226;0,111662156879902;0,310844719409943;3,70564317703247
394;1771129144736,728326;0,11209711432457;0,311581909656525;3,6985547542572
395;1771129144797,434426;0,112536951899529;0,312297403812408;3,69085836410522
396;1771129144862,285626;0,112979739904404;0,31304731965065;3,68618202209473
397;1771129144925,349626;0,113424368202686;0,313807338476181;3,68345308303833
398;1771129144988,148426;0,113871023058891;0,314546883106232;3,68022537231445
399;1771129145047,950626;0,114319927990437;0,315156787633896;3,67679214477539
400;1771129145115,935926;0,114772789180279;0,315686762332916;3,67040681838989
401;1771129145173,844726;0,115228749811649;0,316387951374054;3,66547465324402
402;1771129145236,365926;0,115662418305874;0,316760659217834;3,70240688323975
403;1771129145300,094026;0,116099089384079;0,317484825849533;3,69755268096924
404;1771129145362,762526;0,116538971662521;0,318229168653488;3,69258594512939
405;1771129145424,721226;0,116981983184814;0,318959951400757;3,68770384788513
406;1771129145486,476626;0,117428734898567;0,31962177157402;3,68172836303711
407;1771129145547,826126;0,117879241704941;0,320174992084503;3,67563891410828
408;1771129145609,597726;0,118332430720329;0,320787280797958;3,67149353027344
409;1771129145715,079126;0,118810035288334;0,321840584278107;3,63144063949585
410;1771129145740,576826;0,119239874184132;0,321840584278107;3,71015453338623
411;1771129145797,650226;0,119674175977707;0,322504609823227;3,70295333862305
412;1771129145861,164826;0,120112687349319;0,323240131139755;3,69641971588135
413;1771129145923,020026;0,12055504322052;0,323990255594254;3,69016170501709
414;1771129145984,190926;0,121000453829765;0,32467183470726;3,68535733222961
415;1771129146047,309626;0,121447838842869;0,325239807367325;3,68230533599854
